ID,Age,Gender,trial_id,condition,file_left,file_right,gapOf,decision_choice,correct_answer,signal_detection,confidence_rating,decision_time,rt,trial_type,trial_index,time_elapsed,internal_node_id
12345678,24,Female,1,minus30_vs_0,1_minus_30.mp4,10_minus_0.mp4,9,Different,different,Hit,86.76,5987,12103,html-keyboard-response,1,12318,0.0-1.0
12345678,,,2,0_vs_minus30,10_minus_0.mp4,10_minus_30.mp4,0,Same,same,CR,82.38,3798,8747,html-keyboard-response,3,21569,0.0-3.0
12345678,,,3,plus30_vs_0,3_plus_30.mp4,3_minus_0.mp4,0,Same,same,CR,81.8,3880,7681,html-keyboard-response,5,29753,0.0-5.0
12345678,,,4,0_vs_minus30,6_minus_0.mp4,6_minus_30.mp4,0,Different,same,FA,50.63,4963,16063,html-keyboard-response,7,46320,0.0-7.0
12345678,,,5,plus30_vs_minus30,11_plus_30.mp4,3_minus_30.mp4,8,Different,different,Hit,78.2,5363,7414,html-keyboard-response,9,54237,0.0-9.0
12345678,,,6,minus30_vs_0,12_minus_30.mp4,9_minus_0.mp4,3,Different,different,Hit,58.15,6580,14997,html-keyboard-response,11,69737,0.0-11.0
12345678,,,7,minus30_vs_0,5_minus_30.mp4,10_minus_0.mp4,5,Different,different,Hit,63.68,15214,17897,html-keyboard-response,13,88137,0.0-13.0
12345678,,,8,0_vs_plus30,1_minus_0.mp4,6_plus_30.mp4,5,Different,different,Hit,63.17,3563,7613,html-keyboard-response,15,96254,0.0-15.0
12345678,,,9,plus30_vs_minus30,9_plus_30.mp4,9_minus_30.mp4,0,Same,same,CR,82.3,5547,8431,html-keyboard-response,17,105188,0.0-17.0
12345678,,,10,plus30_vs_minus30,1_plus_30.mp4,1_minus_30.mp4,0,Same,same,CR,70.18,4730,6881,html-keyboard-response,19,112571,0.0-19.0
12345678,,,11,0_vs_plus30,4_minus_0.mp4,4_plus_30.mp4,0,Same,same,CR,72.74,5513,14013,html-keyboard-response,21,127088,0.0-21.0
12345678,,,12,0_vs_plus30,8_minus_0.mp4,4_plus_30.mp4,4,Different,different,Hit,60.68,12897,16046,html-keyboard-response,23,143638,0.0-23.0
12345678,,,13,minus30_vs_plus30,12_minus_30.mp4,1_plus_30.mp4,11,Different,different,Hit,66.45,3080,5264,html-keyboard-response,25,149405,0.0-25.0
12345678,,,14,minus30_vs_plus30,12_minus_30.mp4,12_plus_30.mp4,0,Same,same,CR,82.6,2531,6414,html-keyboard-response,27,156322,0.0-27.0
12345678,,,15,plus30_vs_minus30,7_plus_30.mp4,7_minus_30.mp4,0,Different,same,FA,28.43,4229,7612,html-keyboard-response,29,164439,0.0-29.0
12345678,,,16,minus30_vs_0,2_minus_30.mp4,12_minus_0.mp4,10,Same,different,Miss,32.6,3747,10498,html-keyboard-response,31,175439,0.0-31.0
12345678,,,17,minus30_vs_plus30,11_minus_30.mp4,11_plus_30.mp4,0,Same,same,CR,79.34,3830,8747,html-keyboard-response,33,184690,0.0-33.0
12345678,,,18,minus30_vs_0,7_minus_30.mp4,11_minus_0.mp4,4,Same,different,Miss,68.13,10513,13563,html-keyboard-response,35,198756,0.0-35.0
12345678,,,19,0_vs_plus30,11_minus_0.mp4,11_plus_30.mp4,0,Same,same,CR,64.46,4748,8082,html-keyboard-response,37,207340,0.0-37.0
12345678,,,20,0_vs_minus30,1_minus_0.mp4,12_minus_30.mp4,11,Different,different,Hit,67.93,3280,6030,html-keyboard-response,39,213874,0.0-39.0
12345678,,,21,0_vs_plus30,2_minus_0.mp4,2_plus_30.mp4,0,Same,same,CR,85.97,2730,6248,html-keyboard-response,41,220624,0.0-41.0
