ID,Age,Gender,trial_id,condition,file_left,file_right,gapOf,decision_choice,correct_answer,signal_detection,confidence_rating,decision_time,rt,trial_type,trial_index,time_elapsed,internal_node_id
2222,22,Female,1,minus30_vs_0,1_minus_30.mp4,10_minus_0.mp4,9,Different,different,Hit,100,7726,32807,html-keyboard-response,1,33961,0.0-1.0
2222,,,2,0_vs_minus30,10_minus_0.mp4,10_minus_30.mp4,0,Same,same,CR,65.88,25544,28559,html-keyboard-response,3,63026,0.0-3.0
2222,,,3,plus30_vs_0,3_plus_30.mp4,3_minus_0.mp4,0,Same,same,CR,100,6324,8542,html-keyboard-response,5,72074,0.0-5.0
2222,,,4,0_vs_minus30,6_minus_0.mp4,6_minus_30.mp4,0,Same,same,CR,61.82,18145,22059,html-keyboard-response,7,94638,0.0-7.0
2222,,,5,plus30_vs_minus30,11_plus_30.mp4,3_minus_30.mp4,8,Same,different,Miss,78.55,5844,7725,html-keyboard-response,9,102870,0.0-9.0
2222,,,6,minus30_vs_0,12_minus_30.mp4,9_minus_0.mp4,3,Same,different,Miss,100,9629,11878,html-keyboard-response,11,115253,0.0-11.0
2222,,,7,minus30_vs_0,5_minus_30.mp4,10_minus_0.mp4,5,Same,different,Miss,75.34,5854,11045,html-keyboard-response,13,126802,0.0-13.0
2222,,,8,0_vs_plus30,1_minus_0.mp4,6_plus_30.mp4,5,Different,different,Hit,64.36,8177,12394,html-keyboard-response,15,139702,0.0-15.0
2222,,,9,plus30_vs_minus30,9_plus_30.mp4,9_minus_30.mp4,0,Same,same,CR,100,6943,10769,html-keyboard-response,17,150976,0.0-17.0
2222,,,10,plus30_vs_minus30,1_plus_30.mp4,1_minus_30.mp4,0,Same,same,CR,100,5907,9143,html-keyboard-response,19,160623,0.0-19.0
2222,,,11,0_vs_plus30,4_minus_0.mp4,4_plus_30.mp4,0,Same,same,CR,100,3672,5771,html-keyboard-response,21,166898,0.0-21.0
2222,,,12,0_vs_plus30,8_minus_0.mp4,4_plus_30.mp4,4,Different,different,Hit,100,4343,7445,html-keyboard-response,23,174848,0.0-23.0
2222,,,13,minus30_vs_plus30,12_minus_30.mp4,1_plus_30.mp4,11,Different,different,Hit,100,3964,8010,html-keyboard-response,25,183362,0.0-25.0
2222,,,14,minus30_vs_plus30,12_minus_30.mp4,12_plus_30.mp4,0,Same,same,CR,100,3800,7295,html-keyboard-response,27,191162,0.0-27.0
2222,,,15,plus30_vs_minus30,7_plus_30.mp4,7_minus_30.mp4,0,Same,same,CR,80.74,11795,16646,html-keyboard-response,29,208313,0.0-29.0
2222,,,16,minus30_vs_0,2_minus_30.mp4,12_minus_0.mp4,10,Different,different,Hit,100,4662,6795,html-keyboard-response,31,215613,0.0-31.0
2222,,,17,minus30_vs_plus30,11_minus_30.mp4,11_plus_30.mp4,0,Same,same,CR,100,4791,9901,html-keyboard-response,33,226019,0.0-33.0
2222,,,18,minus30_vs_0,7_minus_30.mp4,11_minus_0.mp4,4,Same,different,Miss,84.12,8220,11251,html-keyboard-response,35,237774,0.0-35.0
2222,,,19,0_vs_plus30,11_minus_0.mp4,11_plus_30.mp4,0,Same,same,CR,88.51,5779,10245,html-keyboard-response,37,248524,0.0-37.0
2222,,,20,0_vs_minus30,1_minus_0.mp4,12_minus_30.mp4,11,Different,different,Hit,100,4299,7231,html-keyboard-response,39,256261,0.0-39.0
2222,,,21,0_vs_plus30,2_minus_0.mp4,2_plus_30.mp4,0,Same,same,CR,100,5374,7525,html-keyboard-response,41,264292,0.0-41.0
2222,,,22,0_vs_minus30,4_minus_0.mp4,4_minus_30.mp4,0,Same,same,CR,100,4820,7176,html-keyboard-response,43,271973,0.0-43.0
2222,,,23,0_vs_plus30,7_minus_0.mp4,7_plus_30.mp4,0,Same,same,CR,58.78,8344,10763,html-keyboard-response,45,283241,0.0-45.0
2222,,,24,0_vs_minus30,12_minus_0.mp4,1_minus_30.mp4,11,Different,different,Hit,100,3726,6776,html-keyboard-response,47,290522,0.0-47.0
2222,,,25,0_vs_minus30,12_minus_0.mp4,11_minus_30.mp4,1,Same,different,Miss,100,7695,9742,html-keyboard-response,49,300769,0.0-49.0
2222,,,26,minus30_vs_0,5_minus_30.mp4,5_minus_0.mp4,0,Same,same,CR,69.09,6980,11680,html-keyboard-response,51,312954,0.0-51.0
2222,,,27,minus30_vs_plus30,4_minus_30.mp4,8_plus_30.mp4,4,Different,different,Hit,85.47,13129,17508,html-keyboard-response,53,330967,0.0-53.0
2222,,,28,plus30_vs_0,7_plus_30.mp4,7_minus_0.mp4,0,Same,same,CR,100,5430,9022,html-keyboard-response,55,340492,0.0-55.0
2222,,,29,plus30_vs_minus30,11_plus_30.mp4,11_minus_30.mp4,0,Same,same,CR,100,5967,9917,html-keyboard-response,57,350914,0.0-57.0
2222,,,30,0_vs_plus30,10_minus_0.mp4,1_plus_30.mp4,10,Different,different,Hit,100,2997,7080,html-keyboard-response,59,358499,0.0-59.0
2222,,,31,0_vs_minus30,8_minus_0.mp4,8_minus_30.mp4,0,Same,same,CR,100,4945,7931,html-keyboard-response,61,366935,0.0-61.0
2222,,,32,plus30_vs_0,2_plus_30.mp4,3_minus_0.mp4,1,Same,different,Miss,100,4256,7256,html-keyboard-response,63,374697,0.0-63.0
2222,,,33,plus30_vs_minus30,10_plus_30.mp4,4_minus_30.mp4,6,Different,different,Hit,100,3588,7381,html-keyboard-response,65,382582,0.0-65.0
2222,,,34,0_vs_plus30,9_minus_0.mp4,2_plus_30.mp4,7,Different,different,Hit,100,5376,7530,html-keyboard-response,67,390617,0.0-67.0
2222,,,35,minus30_vs_0,2_minus_30.mp4,10_minus_0.mp4,8,Different,different,Hit,100,2923,6007,html-keyboard-response,69,397130,0.0-69.0
2222,,,36,minus30_vs_plus30,12_minus_30.mp4,1_plus_30.mp4,10,Different,different,Hit,100,3691,7911,html-keyboard-response,71,405546,0.0-71.0
2222,,,37,minus30_vs_plus30,3_minus_30.mp4,3_plus_30.mp4,0,Same,same,CR,100,4626,6928,html-keyboard-response,73,412979,0.0-73.0
2222,,,38,minus30_vs_plus30,1_minus_30.mp4,12_plus_30.mp4,11,Different,different,Hit,100,2994,5960,html-keyboard-response,75,419444,0.0-75.0
2222,,,39,minus30_vs_0,11_minus_30.mp4,11_minus_0.mp4,0,Same,same,CR,100,3594,5995,html-keyboard-response,77,425944,0.0-77.0
2222,,,40,0_vs_plus30,1_minus_0.mp4,7_plus_30.mp4,6,Different,different,Hit,100,4017,5826,html-keyboard-response,79,432275,0.0-79.0
2222,,,41,minus30_vs_0,2_minus_30.mp4,2_minus_0.mp4,0,Same,same,CR,100,2996,6446,html-keyboard-response,81,439226,0.0-81.0
2222,,,42,plus30_vs_minus30,10_plus_30.mp4,12_minus_30.mp4,2,Same,different,Miss,100,3568,9526,html-keyboard-response,83,449258,0.0-83.0
2222,,,43,minus30_vs_plus30,8_minus_30.mp4,5_plus_30.mp4,3,Same,different,Miss,100,3980,6114,html-keyboard-response,85,455875,0.0-85.0
2222,,,44,plus30_vs_minus30,10_plus_30.mp4,10_minus_30.mp4,0,Same,same,CR,100,4117,7359,html-keyboard-response,87,463739,0.0-87.0
