ID,Age,Gender,trial_id,condition,file_left,file_right,gapOf,decision_choice,correct_answer,signal_detection,confidence_rating,decision_time,rt,trial_type,trial_index,time_elapsed,internal_node_id
23,23,Female,1,minus30_vs_0,1_minus_30.mp4,10_minus_0.mp4,9,Different,different,Hit,24.27,14009,30729,html-keyboard-response,1,31409,0.0-1.0
23,,,2,0_vs_minus30,10_minus_0.mp4,10_minus_30.mp4,0,Same,same,CR,78.4,3895,9502,html-keyboard-response,3,41429,0.0-3.0
23,,,3,plus30_vs_0,3_plus_30.mp4,3_minus_0.mp4,0,Same,same,CR,66.93,12674,20989,html-keyboard-response,5,62927,0.0-5.0
23,,,4,0_vs_minus30,6_minus_0.mp4,6_minus_30.mp4,0,Same,same,CR,82.93,6043,10024,html-keyboard-response,7,73461,0.0-7.0
23,,,5,plus30_vs_minus30,11_plus_30.mp4,3_minus_30.mp4,8,Different,different,Hit,83.87,7258,10999,html-keyboard-response,9,84968,0.0-9.0
23,,,6,minus30_vs_0,12_minus_30.mp4,9_minus_0.mp4,3,Same,different,Miss,72.53,5332,9818,html-keyboard-response,11,95289,0.0-11.0
23,,,7,minus30_vs_0,5_minus_30.mp4,10_minus_0.mp4,5,Same,different,Miss,85.33,8970,17426,html-keyboard-response,13,113223,0.0-13.0
23,,,8,0_vs_plus30,1_minus_0.mp4,6_plus_30.mp4,5,Different,different,Hit,19.33,4833,10840,html-keyboard-response,15,124568,0.0-15.0
23,,,9,plus30_vs_minus30,9_plus_30.mp4,9_minus_30.mp4,0,Same,same,CR,94.67,4197,7004,html-keyboard-response,17,132087,0.0-17.0
23,,,10,plus30_vs_minus30,1_plus_30.mp4,1_minus_30.mp4,0,Same,same,CR,90.27,3418,7382,html-keyboard-response,19,139979,0.0-19.0
23,,,11,0_vs_plus30,4_minus_0.mp4,4_plus_30.mp4,0,Same,same,CR,86.53,5856,8371,html-keyboard-response,21,148861,0.0-21.0
23,,,12,0_vs_plus30,8_minus_0.mp4,4_plus_30.mp4,4,Different,different,Hit,31.07,7467,11644,html-keyboard-response,23,161015,0.0-23.0
23,,,13,minus30_vs_plus30,12_minus_30.mp4,1_plus_30.mp4,11,Different,different,Hit,72.8,5469,11265,html-keyboard-response,25,172785,0.0-25.0
23,,,14,minus30_vs_plus30,12_minus_30.mp4,12_plus_30.mp4,0,Same,same,CR,82.67,5665,8266,html-keyboard-response,27,181554,0.0-27.0
23,,,15,plus30_vs_minus30,7_plus_30.mp4,7_minus_30.mp4,0,Same,same,CR,83.2,4647,7884,html-keyboard-response,29,189943,0.0-29.0
23,,,16,minus30_vs_0,2_minus_30.mp4,12_minus_0.mp4,10,Same,different,Miss,21.47,8665,10865,html-keyboard-response,31,201318,0.0-31.0
23,,,17,minus30_vs_plus30,11_minus_30.mp4,11_plus_30.mp4,0,Same,same,CR,76.93,10269,12910,html-keyboard-response,33,214739,0.0-33.0
23,,,18,minus30_vs_0,7_minus_30.mp4,11_minus_0.mp4,4,Same,different,Miss,55.33,5237,9550,html-keyboard-response,35,224798,0.0-35.0
23,,,19,0_vs_plus30,11_minus_0.mp4,11_plus_30.mp4,0,Same,same,CR,12.13,9526,12557,html-keyboard-response,37,237863,0.0-37.0
23,,,20,0_vs_minus30,1_minus_0.mp4,12_minus_30.mp4,11,Different,different,Hit,93.6,3248,7178,html-keyboard-response,39,245548,0.0-39.0
23,,,21,0_vs_plus30,2_minus_0.mp4,2_plus_30.mp4,0,Same,same,CR,96,4062,7047,html-keyboard-response,41,253101,0.0-41.0
