ID,Age,Gender,trial_index_manual,condition,file_left,file_right,gapOf,decision_choice,signal_detection,confidence_rating,rt,trial_type,trial_index,time_elapsed,internal_node_id
88,33,Female,1,minus30_vs_0,1_minus_30.mp4,10_minus_0.mp4,9,Different,Hit,6,4464,html-keyboard-response,1,6451,0.0-1.0
88,,,2,0_vs_minus30,10_minus_0.mp4,10_minus_30.mp4,0,Same,CR,4,6297,html-keyboard-response,3,13252,0.0-3.0
88,,,3,plus30_vs_0,3_plus_30.mp4,3_minus_0.mp4,0,Same,CR,4,4604,html-keyboard-response,5,18360,0.0-5.0
88,,,4,0_vs_minus30,6_minus_0.mp4,6_minus_30.mp4,0,Same,CR,5,3883,html-keyboard-response,7,22748,0.0-7.0
88,,,5,plus30_vs_minus30,11_plus_30.mp4,3_minus_30.mp4,8,Different,Hit,6,4480,html-keyboard-response,9,27732,0.0-9.0
88,,,6,minus30_vs_0,12_minus_30.mp4,9_minus_0.mp4,3,Same,Miss,5,4650,html-keyboard-response,11,32887,0.0-11.0
88,,,7,minus30_vs_0,5_minus_30.mp4,10_minus_0.mp4,5,Different,Hit,3,4386,html-keyboard-response,13,37777,0.0-13.0
88,,,8,0_vs_plus30,1_minus_0.mp4,6_plus_30.mp4,5,Different,Hit,5,3819,html-keyboard-response,15,42097,0.0-15.0
88,,,9,plus30_vs_minus30,9_plus_30.mp4,9_minus_30.mp4,0,Same,CR,6,3578,html-keyboard-response,17,46179,0.0-17.0
88,,,10,plus30_vs_minus30,1_plus_30.mp4,1_minus_30.mp4,0,Same,CR,6,4704,html-keyboard-response,19,51388,0.0-19.0
88,,,11,0_vs_plus30,4_minus_0.mp4,4_plus_30.mp4,0,Different,FA,3,3660,html-keyboard-response,21,55551,0.0-21.0
88,,,12,0_vs_plus30,8_minus_0.mp4,4_plus_30.mp4,4,Same,Miss,5,5083,html-keyboard-response,23,61138,0.0-23.0
88,,,13,minus30_vs_plus30,12_minus_30.mp4,1_plus_30.mp4,11,Different,Hit,5,5086,html-keyboard-response,25,66728,0.0-25.0
88,,,14,minus30_vs_plus30,12_minus_30.mp4,12_plus_30.mp4,0,Different,FA,6,3809,html-keyboard-response,27,71041,0.0-27.0
88,,,15,plus30_vs_minus30,7_plus_30.mp4,7_minus_30.mp4,0,Same,CR,5,3800,html-keyboard-response,29,75344,0.0-29.0
88,,,16,minus30_vs_0,2_minus_30.mp4,12_minus_0.mp4,10,Different,Hit,6,4280,html-keyboard-response,31,80128,0.0-31.0
88,,,17,minus30_vs_plus30,11_minus_30.mp4,11_plus_30.mp4,0,Same,CR,5,4592,html-keyboard-response,33,85223,0.0-33.0
88,,,18,minus30_vs_0,7_minus_30.mp4,11_minus_0.mp4,4,Different,Hit,5,3728,html-keyboard-response,35,89455,0.0-35.0
88,,,19,0_vs_plus30,11_minus_0.mp4,11_plus_30.mp4,0,Same,CR,3,5019,html-keyboard-response,37,94978,0.0-37.0
88,,,20,0_vs_minus30,1_minus_0.mp4,12_minus_30.mp4,11,Different,Hit,6,3776,html-keyboard-response,39,99257,0.0-39.0
88,,,21,0_vs_plus30,2_minus_0.mp4,2_plus_30.mp4,0,Same,CR,5,3507,html-keyboard-response,41,103267,0.0-41.0
88,,,22,0_vs_minus30,4_minus_0.mp4,4_minus_30.mp4,0,Same,CR,2,4546,html-keyboard-response,43,108317,0.0-43.0
88,,,23,0_vs_plus30,7_minus_0.mp4,7_plus_30.mp4,0,Different,FA,5,3718,html-keyboard-response,45,112538,0.0-45.0
88,,,24,0_vs_minus30,12_minus_0.mp4,1_minus_30.mp4,11,Different,Hit,6,4379,html-keyboard-response,47,117422,0.0-47.0
88,,,25,0_vs_minus30,12_minus_0.mp4,11_minus_30.mp4,1,Same,Miss,4,4618,html-keyboard-response,49,122544,0.0-49.0
88,,,26,minus30_vs_0,5_minus_30.mp4,5_minus_0.mp4,0,Same,CR,2,3631,html-keyboard-response,51,126679,0.0-51.0
88,,,27,minus30_vs_plus30,4_minus_30.mp4,8_plus_30.mp4,4,Different,Hit,4,6364,html-keyboard-response,53,133546,0.0-53.0
88,,,28,plus30_vs_0,7_plus_30.mp4,7_minus_0.mp4,0,Different,FA,4,3663,html-keyboard-response,55,137713,0.0-55.0
88,,,29,plus30_vs_minus30,11_plus_30.mp4,11_minus_30.mp4,0,Same,CR,3,3986,html-keyboard-response,57,142203,0.0-57.0
88,,,30,0_vs_plus30,10_minus_0.mp4,1_plus_30.mp4,10,Different,Hit,6,3562,html-keyboard-response,59,146269,0.0-59.0
88,,,31,0_vs_minus30,8_minus_0.mp4,8_minus_30.mp4,0,Different,FA,3,4231,html-keyboard-response,61,151004,0.0-61.0
88,,,32,plus30_vs_0,2_plus_30.mp4,3_minus_0.mp4,1,Different,Hit,2,6721,html-keyboard-response,63,158229,0.0-63.0
88,,,33,plus30_vs_minus30,10_plus_30.mp4,4_minus_30.mp4,6,Different,Hit,6,4225,html-keyboard-response,65,162964,0.0-65.0
88,,,34,0_vs_plus30,9_minus_0.mp4,2_plus_30.mp4,7,Different,Hit,3,4082,html-keyboard-response,67,167549,0.0-67.0
88,,,35,minus30_vs_0,2_minus_30.mp4,10_minus_0.mp4,8,Same,Miss,5,5909,html-keyboard-response,69,173962,0.0-69.0
88,,,36,minus30_vs_plus30,12_minus_30.mp4,1_plus_30.mp4,10,Different,Hit,2,4019,html-keyboard-response,71,178484,0.0-71.0
88,,,37,minus30_vs_plus30,3_minus_30.mp4,3_plus_30.mp4,0,Same,CR,5,4822,html-keyboard-response,73,183810,0.0-73.0
88,,,38,minus30_vs_plus30,1_minus_30.mp4,12_plus_30.mp4,11,Different,Hit,6,4882,html-keyboard-response,75,189197,0.0-75.0
88,,,39,minus30_vs_0,11_minus_30.mp4,11_minus_0.mp4,0,Same,CR,5,3519,html-keyboard-response,77,193219,0.0-77.0
88,,,40,0_vs_plus30,1_minus_0.mp4,7_plus_30.mp4,6,Different,Hit,6,3964,html-keyboard-response,79,197687,0.0-79.0
88,,,41,minus30_vs_0,2_minus_30.mp4,2_minus_0.mp4,0,Same,CR,5,3634,html-keyboard-response,81,201826,0.0-81.0
88,,,42,plus30_vs_minus30,10_plus_30.mp4,12_minus_30.mp4,2,Same,Miss,3,5087,html-keyboard-response,83,207417,0.0-83.0
88,,,43,minus30_vs_plus30,8_minus_30.mp4,5_plus_30.mp4,3,Different,Hit,4,3698,html-keyboard-response,85,211618,0.0-85.0
88,,,44,plus30_vs_minus30,10_plus_30.mp4,10_minus_30.mp4,0,Same,CR,6,4266,html-keyboard-response,87,216387,0.0-87.0
88,,,45,0_vs_plus30,6_minus_0.mp4,7_plus_30.mp4,1,Same,Miss,4,4683,html-keyboard-response,89,221574,0.0-89.0
88,,,46,plus30_vs_0,10_plus_30.mp4,6_minus_0.mp4,4,Different,Hit,6,4552,html-keyboard-response,91,226631,0.0-91.0
88,,,47,minus30_vs_plus30,1_minus_30.mp4,1_plus_30.mp4,0,Same,CR,6,6371,html-keyboard-response,93,233506,0.0-93.0
88,,,48,0_vs_minus30,2_minus_0.mp4,2_minus_30.mp4,0,Same,CR,4,6480,html-keyboard-response,95,240490,0.0-95.0
88,,,49,plus30_vs_minus30,1_plus_30.mp4,11_minus_30.mp4,10,Different,Hit,5,5151,html-keyboard-response,97,246145,0.0-97.0
88,,,50,0_vs_plus30,8_minus_0.mp4,6_plus_30.mp4,2,Same,Miss,5,3930,html-keyboard-response,99,250578,0.0-99.0
88,,,51,minus30_vs_0,2_minus_30.mp4,9_minus_0.mp4,7,Different,Hit,6,3543,html-keyboard-response,101,254625,0.0-101.0
88,,,52,minus30_vs_plus30,11_minus_30.mp4,1_plus_30.mp4,10,Different,Hit,6,3588,html-keyboard-response,103,258717,0.0-103.0
88,,,53,minus30_vs_0,4_minus_30.mp4,4_minus_0.mp4,0,Same,CR,6,4037,html-keyboard-response,105,263258,0.0-105.0
88,,,54,minus30_vs_0,7_minus_30.mp4,7_minus_0.mp4,0,Different,FA,1,6179,html-keyboard-response,107,269942,0.0-107.0
88,,,55,minus30_vs_0,4_minus_30.mp4,5_minus_0.mp4,1,Different,Hit,2,6686,html-keyboard-response,109,277132,0.0-109.0
88,,,56,minus30_vs_0,11_minus_30.mp4,2_minus_0.mp4,9,Different,Hit,6,4568,html-keyboard-response,111,282204,0.0-111.0
88,,,57,plus30_vs_minus30,12_plus_30.mp4,12_minus_30.mp4,0,Different,FA,4,5277,html-keyboard-response,113,287985,0.0-113.0
88,,,58,plus30_vs_minus30,7_plus_30.mp4,6_minus_30.mp4,1,Same,Miss,3,3938,html-keyboard-response,115,292426,0.0-115.0
88,,,59,plus30_vs_minus30,3_plus_30.mp4,3_minus_30.mp4,0,Same,CR,5,3657,html-keyboard-response,117,296588,0.0-117.0
88,,,60,0_vs_minus30,12_minus_0.mp4,2_minus_30.mp4,10,Different,Hit,6,3569,html-keyboard-response,119,300662,0.0-119.0
88,,,61,plus30_vs_0,8_plus_30.mp4,8_minus_0.mp4,0,Same,CR,4,4564,html-keyboard-response,121,305729,0.0-121.0
88,,,62,plus30_vs_minus30,4_plus_30.mp4,4_minus_30.mp4,0,Same,CR,5,4547,html-keyboard-response,123,310780,0.0-123.0
88,,,63,0_vs_plus30,12_minus_0.mp4,12_plus_30.mp4,0,Same,CR,6,3919,html-keyboard-response,125,315203,0.0-125.0
88,,,64,0_vs_plus30,5_minus_0.mp4,8_plus_30.mp4,3,Same,Miss,2,4893,html-keyboard-response,127,320600,0.0-127.0
88,,,65,plus30_vs_0,10_plus_30.mp4,10_minus_0.mp4,0,Different,FA,5,5519,html-keyboard-response,129,326623,0.0-129.0
88,,,66,plus30_vs_minus30,12_plus_30.mp4,4_minus_30.mp4,8,Different,Hit,6,4062,html-keyboard-response,131,331189,0.0-131.0
88,,,67,minus30_vs_plus30,6_minus_30.mp4,6_plus_30.mp4,0,Same,CR,4,3771,html-keyboard-response,133,335464,0.0-133.0
88,,,68,0_vs_plus30,10_minus_0.mp4,2_plus_30.mp4,8,Different,Hit,3,5193,html-keyboard-response,135,341161,0.0-135.0
88,,,69,plus30_vs_0,11_plus_30.mp4,11_minus_0.mp4,0,Same,CR,1,5338,html-keyboard-response,137,347002,0.0-137.0
88,,,70,0_vs_plus30,7_minus_0.mp4,5_plus_30.mp4,2,Same,Miss,5,4743,html-keyboard-response,139,352249,0.0-139.0
88,,,71,0_vs_minus30,6_minus_0.mp4,10_minus_30.mp4,4,Same,Miss,4,5556,html-keyboard-response,141,358308,0.0-141.0
88,,,72,0_vs_plus30,3_minus_0.mp4,3_plus_30.mp4,0,Same,CR,5,4092,html-keyboard-response,144,422907,0.0-144.0
88,,,73,minus30_vs_0,6_minus_30.mp4,6_minus_0.mp4,0,Same,CR,3,3651,html-keyboard-response,146,427061,0.0-146.0
88,,,74,plus30_vs_minus30,5_plus_30.mp4,5_minus_30.mp4,0,Same,CR,6,5114,html-keyboard-response,148,432680,0.0-148.0
88,,,75,0_vs_minus30,9_minus_0.mp4,6_minus_30.mp4,3,Different,Hit,6,3544,html-keyboard-response,150,436726,0.0-150.0
88,,,76,plus30_vs_minus30,6_plus_30.mp4,11_minus_30.mp4,5,Different,Hit,2,4535,html-keyboard-response,152,441766,0.0-152.0
88,,,77,0_vs_minus30,1_minus_0.mp4,1_minus_30.mp4,0,Same,CR,5,4322,html-keyboard-response,154,446592,0.0-154.0
88,,,78,0_vs_minus30,3_minus_0.mp4,3_minus_30.mp4,0,Same,CR,3,3634,html-keyboard-response,156,450730,0.0-156.0
88,,,79,minus30_vs_0,9_minus_30.mp4,3_minus_0.mp4,6,Different,Hit,6,3648,html-keyboard-response,158,454882,0.0-158.0
88,,,80,plus30_vs_0,12_plus_30.mp4,12_minus_0.mp4,0,Same,CR,6,3542,html-keyboard-response,160,458927,0.0-160.0
88,,,81,plus30_vs_0,1_plus_30.mp4,5_minus_0.mp4,4,Same,Miss,5,4305,html-keyboard-response,162,463736,0.0-162.0
88,,,82,0_vs_minus30,12_minus_0.mp4,12_minus_30.mp4,0,Same,CR,5,3636,html-keyboard-response,164,467876,0.0-164.0
88,,,83,0_vs_plus30,5_minus_0.mp4,5_plus_30.mp4,0,Same,CR,6,4634,html-keyboard-response,166,473014,0.0-166.0
88,,,84,minus30_vs_plus30,10_minus_30.mp4,10_plus_30.mp4,0,Different,FA,1,4306,html-keyboard-response,168,477824,0.0-168.0
88,,,85,minus30_vs_plus30,8_minus_30.mp4,8_plus_30.mp4,0,Same,CR,4,3674,html-keyboard-response,170,482001,0.0-170.0
88,,,86,0_vs_minus30,1_minus_0.mp4,8_minus_30.mp4,7,Different,Hit,6,3759,html-keyboard-response,172,486264,0.0-172.0
88,,,87,0_vs_plus30,2_minus_0.mp4,7_plus_30.mp4,5,Different,Hit,6,3746,html-keyboard-response,174,490514,0.0-174.0
88,,,88,minus30_vs_plus30,3_minus_30.mp4,12_plus_30.mp4,0,Different,FA,5,5444,html-keyboard-response,176,496461,0.0-176.0
88,,,89,0_vs_minus30,10_minus_0.mp4,11_minus_30.mp4,1,Same,Miss,3,4776,html-keyboard-response,178,501742,0.0-178.0
88,,,90,minus30_vs_plus30,2_minus_30.mp4,11_plus_30.mp4,9,Different,Hit,2,4441,html-keyboard-response,180,506685,0.0-180.0
88,,,91,minus30_vs_0,12_minus_30.mp4,12_minus_0.mp4,0,Same,CR,5,4094,html-keyboard-response,182,511285,0.0-182.0
88,,,92,minus30_vs_plus30,10_minus_30.mp4,3_plus_30.mp4,7,Different,Hit,6,3721,html-keyboard-response,184,515511,0.0-184.0
88,,,93,plus30_vs_minus30,8_plus_30.mp4,8_minus_30.mp4,0,Same,CR,5,4012,html-keyboard-response,186,520026,0.0-186.0
88,,,94,plus30_vs_0,12_plus_30.mp4,1_minus_0.mp4,11,Different,Hit,4,3631,html-keyboard-response,188,524162,0.0-188.0
88,,,95,plus30_vs_minus30,2_plus_30.mp4,2_minus_30.mp4,0,Same,CR,6,3582,html-keyboard-response,190,528249,0.0-190.0
88,,,96,plus30_vs_0,5_plus_30.mp4,5_minus_0.mp4,0,Same,CR,4,4558,html-keyboard-response,192,533312,0.0-192.0
88,,,97,minus30_vs_0,3_minus_30.mp4,3_minus_0.mp4,0,Same,CR,6,3628,html-keyboard-response,194,537444,0.0-194.0
88,,,98,0_vs_plus30,11_minus_0.mp4,1_plus_30.mp4,10,Different,Hit,6,3833,html-keyboard-response,196,541782,0.0-196.0
88,,,99,minus30_vs_plus30,7_minus_30.mp4,8_plus_30.mp4,1,Same,Miss,3,4064,html-keyboard-response,198,546350,0.0-198.0
88,,,100,minus30_vs_plus30,2_minus_30.mp4,4_plus_30.mp4,2,Different,Hit,2,3543,html-keyboard-response,200,550397,0.0-200.0
88,,,101,plus30_vs_minus30,1_plus_30.mp4,10_minus_30.mp4,9,Different,Hit,6,3573,html-keyboard-response,202,554473,0.0-202.0
88,,,102,plus30_vs_0,1_plus_30.mp4,12_minus_0.mp4,11,Different,Hit,6,3459,html-keyboard-response,204,558436,0.0-204.0
88,,,103,minus30_vs_0,1_minus_30.mp4,1_minus_0.mp4,0,Same,CR,6,4123,html-keyboard-response,206,563062,0.0-206.0
88,,,104,plus30_vs_0,3_plus_30.mp4,10_minus_0.mp4,7,Different,Hit,5,3653,html-keyboard-response,208,567220,0.0-208.0
88,,,105,plus30_vs_0,6_plus_30.mp4,6_minus_0.mp4,0,Same,CR,4,3705,html-keyboard-response,210,571429,0.0-210.0
88,,,106,minus30_vs_0,4_minus_30.mp4,8_minus_0.mp4,0,Same,CR,3,3445,html-keyboard-response,212,575378,0.0-212.0
88,,,107,minus30_vs_0,9_minus_30.mp4,9_minus_0.mp4,0,Same,CR,2,5023,html-keyboard-response,214,580905,0.0-214.0
88,,,108,0_vs_plus30,1_minus_0.mp4,1_plus_30.mp4,0,Same,CR,5,4764,html-keyboard-response,216,586173,0.0-216.0
88,,,109,0_vs_minus30,11_minus_0.mp4,11_minus_30.mp4,0,Same,CR,4,4368,html-keyboard-response,218,591044,0.0-218.0
88,,,110,0_vs_minus30,9_minus_0.mp4,9_minus_30.mp4,0,Same,CR,1,3988,html-keyboard-response,220,595536,0.0-220.0
88,,,111,minus30_vs_plus30,7_minus_30.mp4,7_plus_30.mp4,0,Same,CR,4,5879,html-keyboard-response,222,601919,0.0-222.0
88,,,112,minus30_vs_0,8_minus_30.mp4,8_minus_0.mp4,0,Same,CR,6,4865,html-keyboard-response,224,607288,0.0-224.0
88,,,113,plus30_vs_minus30,11_plus_30.mp4,11_minus_30.mp4,0,Same,CR,6,3650,html-keyboard-response,226,611442,0.0-226.0
88,,,114,0_vs_minus30,10_minus_0.mp4,10_minus_30.mp4,0,Different,FA,1,4128,html-keyboard-response,228,616074,0.0-228.0
